ID,Mount name,Flange focal distance,Frame size,Throat or thread diameter,Mount thread pitch,Mount type,Primary use,Camera lines
1,"1/2"" bayonet mount ",37.80 mm ,"1/2"" (6.97x3.92) ",,,Bayonet ,Video ,Non-Sony professional video cameras 
2,"1/3"" bayonet mount ",25 mm ,"1/3"" (5.24x2.94) ",,,Bayonet ,Video ,JVC professional video cameras 
3,Aaton universal ,40 mm ,16 mm ,50 mm ,,Breech lock ,Cinematography ,
4,Adapt-A-Matic ,50.7 mm ,35 mm ,54 mm ,,Bayonet ,Photography ,Tamron 
5,Adaptall & Adaptall-2 ,50.7 mm ,35 mm ,54 mm ,,Bayonet ,Photography ,Tamron 
6,Alpa ,37.80 mm ,35 mm ,42 mm ,,Bayonet ,Photography ,
7,Argus C3 ,40.3 mm ,35 mm ,34 mm ,20 TPI ,Screw ,Photography ,Argus C3 
8,Arri bayonet ,52 mm ,35 mm and 16 mm ,64 mm ,,Bayonet ,Cinematography ,
9,Arri LPL ,44 mm ,Arri LF ,62 mm ,,Breech lock ,Cinematography ,
10,Arri Maxi PL ,52 mm ,70 mm ,64 mm ,,,Cinematography ,
11,Arri PL ,52 mm ,35 mm and 16 mm ,54 mm ,,Breech lock ,Cinematography ,
12,Arri standard ,52 mm ,35 mm and 16 mm ,64 mm ,,Tab lock ,Cinematography ,
13,B3-mount ,58 mm ,"2/3"" ",,,Reverse bayonet ,Video ,Ikegami 
14,B4-mount ,48 mm ,"2/3"" (9.6x5.4) ",,,Bayonet ,Video ,Professional and broadcast video cameras 
15,BD Mount ,Unknown ,,M26 ,0.7 mm ,Screw ,Microscope ,"Mitutoyo
Olympus BD
Nikon BD "
16,Bolex Bajonet ,23.22 mm ,16 mm ,,,Breech lock ,Cinematography ,effective focal distance 17.526 mm (0.69 inches) due to beam splitter behind mount flange (accepts C-mount lenses with adapter) 
17,Bronica ETR ,69 mm ,6×4.5 ,,,Bayonet ,Photography ,
